Facility Type,Name,Atoll,Island,Phone,Email
Guest House,Karaa Village,Alifu Alifu,Thoddoo,9674895,karaavillage@gmail.com
Guest House,Lagoon Villa Thoddoo,Alifu Alifu,Thoddoo,9922227,hello@lagoonvillathoddoo.com
Guest House,Manta Stay,Alifu Alifu,Thoddoo,9944432,info@mantastaythoddoo.com
Guest House,New Breeze Thoddoo Inn,Alifu Alifu,Thoddoo,9996681,newbreezthoddhoo@hotmail.com
Guest House,Noovilu Residence Thoddoo,Alifu Alifu,Thoddoo,7955950,thoddoo@gmail.com
Guest House,Oak Thoddoo,Alifu Alifu,Thoddoo,9936283,jinnejinaah@gmail.com
Guest House,Ocean Vida,Alifu Alifu,Thoddoo,9654448,alirishan9964448@gmail.com
Guest House,Palma de Maldives,Alifu Alifu,Thoddoo,9505295,burakcakir@hotmail.fr
Guest House,Paradise Palms,Alifu Alifu,Thoddoo,7625864,adamfayaz.mv@gmail.com
Guest House,Ramzu Villa,Alifu Alifu,Thoddoo,9774552,azmathkhaleel@gmail.com
Guest House,Reef Shine Thoddoo,Alifu Alifu,Thoddoo,7887941,jafffjammm@gmail.com
Guest House,Relax Lodge,Alifu Alifu,Thoddoo,9668820,relaxlodge1759@gmail.com
Guest House,Relax Villa,Alifu Alifu,Thoddoo,9725000,aishatinaza@gmail.com
Guest House,Rihiveli Residence Thoddoo,Alifu Alifu,Thoddoo,9572544,reservations.rihiveliresidence@gmail.com
Guest House,Riyaludhathuru,Alifu Alifu,Thoddoo,7844658,riyaludhathuru@gmail.com
Guest House,Sands Garden,Alifu Alifu,Thoddoo,7772159,res@sandshotelmaldives.com
Guest House,Serene Sea View,Alifu Alifu,Thoddoo,7782680,karam5757@gmail.com
Guest House,Shams Thoddoo,Alifu Alifu,Thoddoo,7979011,stay@shamsthoddoo.com
Guest House,Shoreline Grand,Alifu Alifu,Thoddoo,9637345,hello@shorelinegrand.com
Guest House,Sosun View Private Villa,Alifu Alifu,Thoddoo,9999226,sosunviewprivatevilla@gmail.com
Guest House,Summer Inn Thoddoo,Alifu Alifu,Thoddoo,9699993,summerinnthoddoo@gmail.com
Guest House,Summer Sky Thoddoo,Alifu Alifu,Thoddoo,7996653,summerskythoddoo@gmail.com
Guest House,Sunny Pavilion,Alifu Alifu,Thoddoo,7779853,ibrahim@sunnysuitesinn.com
Guest House,Sunnyside Inn Thoddoo,Alifu Alifu,Thoddoo,9923282,sunnysideinnthoddoo@gmail.com
Guest House,The Palms Thoddoo,Alifu Alifu,Thoddoo,7459473,thepalms.thoddoo@gmail.com
Guest House,Thila Farm View,Alifu Alifu,Thoddoo,9933296,info@thilafarmview.com
Guest House,Thila Palms Thoddoo,Alifu Alifu,Thoddoo,9933296,saifsaitte@gmail.com
Guest House,Thila Skyview,Alifu Alifu,Thoddoo,7785324,saif.saitte@gmail.com
Guest House,Thoddoo Beach Holiday,Alifu Alifu,Thoddoo,9724025 / 9994918,beachholidayinn@gmail.com
Guest House,Thoddoo Cozy Stay,Alifu Alifu,Thoddoo,9149393,aliinash1112@gmail.com
Guest House,Thoddoo Dive Villa,Alifu Alifu,Thoddoo,9763007,nooraaneecom@gmail.com
Guest House,Thoddoo Garden Inn,Alifu Alifu,Thoddoo,9199940,adammoosa9199940@gmail.com
Guest House,Thoddoo Haisha Inn,Alifu Alifu,Thoddoo,7407768,janbeyadam@gmail.com
Guest House,Thoddoo Inn,Alifu Alifu,Thoddoo,7947040,reservations.thoddooinn@gmail.com
Guest House,Thoddoo Island Holiday,Alifu Alifu,Thoddoo,9994918,beach.holidayinn@gmail.com
Guest House,Thoddoo7startropics,Alifu Alifu,Thoddoo,9538783,7startropics.mv@gmail.com
Guest House,Tropica Thoddoo Inn,Alifu Alifu,Thoddoo,9183508,zaffanahmed8204@gmail.com
Guest House,Tropicana Villas,Alifu Alifu,Thoddoo,9999355,ismail.isaam@gmail.com
Guest House,Vegas Thoddoo Maldives,Alifu Alifu,Thoddoo,9793440,ako@ihavandhoo.com
Guest House,Veli Garden Thoddoo,Alifu Alifu,Thoddoo,9930120,veligardenthoddoo@gmail.com
Guest House,White Rock Thoddoo,Alifu Alifu,Thoddoo,9192340,whiterockthoddoo@gmail.com
Home Stay,Naseema Hiya,Alifu Alifu,Thoddoo,"7330387
9960880",razeema7@gmail.com
Guest House,Aria Beach,Alifu Alifu,Ukulhas,9988668,ariabeachukulhas@gmail.com
Guest House,Arista Villa,Alifu Alifu,Ukulhas,7783171,abdulla.fathuma@gmail.com
Guest House,Beach Veli,Alifu Alifu,Ukulhas,"7776458
9685446",info@beachveli.com
Guest House,Casa Paradiso,Alifu Alifu,Ukulhas,7429998,reservations@casaparadisoukulhas.com
Guest House,Coral Queen Villa Ukulhas,Alifu Alifu,Ukulhas,7773805,coralqueenvilla@gmail.com
Guest House,Ganduvaru Villa,Alifu Alifu,Ukulhas,7778248,info@ganduvaruhotels.com
Guest House,Holiday Haven Ukulhas,Alifu Alifu,Ukulhas,7776765,info@holidayhavenukulhas.com
Guest House,La Palma Suites,Alifu Alifu,Ukulhas,7744008,info@lapalmavillahotel.com
Guest House,Nala Veli Beach Villa,Alifu Alifu,Ukulhas,9120088,info@nalaveli-villa.com
Guest House,Nala Veli Villa,Alifu Alifu,Ukulhas,7772440,info@nalaveli-villa.com
Guest House,Ostrov,Alifu Alifu,Ukulhas,9989899,ostrovmaldives@gmail.com
Guest House,Paguro Beach Inn,Alifu Alifu,Ukulhas,7777221,info@paguromaldives.com
Guest House,Paguro Villa,Alifu Alifu,Ukulhas,7777221,paguromaldives@gmail.com
Guest House,Sealavie Inn,Alifu Alifu,Ukulhas,7779439,info@sealavieinn.com
Guest House,Sunway Ukulhas,Alifu Alifu,Ukulhas,7716804,sunwayukulhas@gmail.com
Guest House,Trip Villa,Alifu Alifu,Ukulhas,7787864,tripvillaukulhas@gmail.com
Guest House,Tropico Villa,Alifu Alifu,Ukulhas,9113001,Info@tropicovilla.com
Guest House,Ukulhas Beach Villa,Alifu Alifu,Ukulhas,7774225,eclipsemaldives@gmail.com
Guest House,Ukulhas Sands,Alifu Alifu,Ukulhas,7770306,ukulhassands@gmail.com
Guest House,Villa Crescenta,Alifu Alifu,Ukulhas,9964600,villacrescenta@gmail.com
Guest House,West Sands Ukulhas,Alifu Alifu,Ukulhas,9651515,info@westsandsukulhas.com
Home Stay,Coco Ukulhas Villa,Alifu Alifu,Ukulhas,9668506,mohamedn685@gmail.com
Home Stay,Maafolhey Han'dhaan,Alifu Alifu,Ukulhas,7737302,adhunasir7373@gmail.com
Home Stay,Pearls Apartments,Alifu Alifu,Ukulhas,7903727 / 7953326,info@pearlsapeartments.com
Home Stay,Villa Boheme Maldives,Alifu Alifu,Ukulhas,9662299,Yakkoyasir@gmail.com
Guest House,Antares Dhangethi,Alifu Dhaalu,Dhangethi,"7773128
9459191",antaresdhangethi@gmail.com
Guest House,Aqua Luna Dhangethi,Alifu Dhaalu,Dhangethi,9986505,maanu4as@gmail.com
Guest House,Ari Grand,Alifu Dhaalu,Dhangethi,9952524,arali.pvt@outlook.com
Guest House,Atoll Residence Dhangethi,Alifu Dhaalu,Dhangethi,7917711,info@atollresidence.com
Guest House,Banyan Villa,Alifu Dhaalu,Dhangethi,"3339669
7770256",info@banyanvillamaldives.com
Guest House,Dhangethi Retreat,Alifu Dhaalu,Dhangethi,7622711,nadeyz@live.com
Guest House,Handhu Runba Inn,Alifu Dhaalu,Dhangethi,7789556,themehotels24@gmail.com
Guest House,Handhuveli Dhangethi,Alifu Dhaalu,Dhangethi,7773842,abdhamydh@gmail.com
Guest House,Havaa Inn Dhangethi,Alifu Dhaalu,Dhangethi,7998815,havainndhangethi@gmail.com
Guest House,Manta Dhangethi,Alifu Dhaalu,Dhangethi,7953434 / 7434561,"naaifx4910@gmail.com, aminathnathasha56@gmail.com"
Guest House,Night Star Dhangethi,Alifu Dhaalu,Dhangethi,9165655,nightstardhangethi@gmail.com
Guest House,Ocean Sunset,Alifu Dhaalu,Dhangethi,7708078,molio7708078@gmail.com
Guest House,Paradise Found,Alifu Dhaalu,Dhangethi,9999912,bestpricehardware@live.com
Guest House,Perla Dhangethi,Alifu Dhaalu,Dhangethi,7944229,info@perladhangethi.com
Guest House,Raalhu Dhangethi,Alifu Dhaalu,Dhangethi,7443777,rewavemaldives@outlook.com
Guest House,Royal Village,Alifu Dhaalu,Dhangethi,7917800,haleem3102@gmail.com
Guest House,Sky View,Alifu Dhaalu,Dhangethi,7913746,Vilasaboutique2021@gmail.com
Guest House,Thilavaru Inn,Alifu Dhaalu,Dhangethi,9555535,fayyax00@outlook.com
Guest House,Alma Maldiva Guesthouse,Alifu Dhaalu,Dhidhdhoo,9115225,info@indicosecret.com
Guest House,Coconut Palm Dhidhoo,Alifu Dhaalu,Dhidhdhoo,7726278,rilley-2011@hotmail.com
Guest House,Dhontakuru Guest House,Alifu Dhaalu,Dhidhdhoo,7688132,haaaa198383@gmail.com: dhonthakuruge@gmail.com
Guest House,Dive and Sleep Retreat,Alifu Dhaalu,Dhidhdhoo,7757088,Info@diveandsleep.com
Guest House,Waterside Maldives,Alifu Dhaalu,Dhidhdhoo,7774003,stay@watersidemaldives.com
Guest House,Holiday Crib,Alifu Dhaalu,Dhiffushi,7756789,yourholidaycrib@gmail.com
Guest House,Holiday Home Dhiffushi,Alifu Dhaalu,Dhiffushi,9933315,holidayhomedhiffushi@gmail.com
Guest House,Island Serenity,Alifu Dhaalu,Dhiffushi,7987552,fathy-22@hotmail.com
Guest House,Maldivine Stay,Alifu Dhaalu,Dhiffushi,7913075,maldivinestay@gmail.com
Guest House,Moro Dhiffushi Maldives,Alifu Dhaalu,Dhiffushi,7874096,moromaldives@gmail.com
Guest House,Navaya Dhiffushi,Alifu Dhaalu,Dhiffushi,7770465,hello@navayadhiffushi.com
Guest House,Ruka Maldives,Alifu Dhaalu,Dhiffushi,7994988,rukamaldives@gmail.com
Guest House,Akiri Dhigurah,Alifu Dhaalu,Dhigurah,9400098,akiridhigurah@gmail.com
Guest House,Athiri Beach,Alifu Dhaalu,Dhigurah,9993510,ali@athiri-beach.com
Guest House,Azul Retreat,Alifu Dhaalu,Dhigurah,7773479,mamdhoon@gmail.com
Guest House,BB Island House,Alifu Dhaalu,Dhigurah,9739663,bookings@boutiquebeach.club
Guest House,Beach Hot Dhigurah,Alifu Dhaalu,Dhigurah,7732900,samee@atollkey.com
Guest House,Beach Lily Dhigurah,Alifu Dhaalu,Dhigurah,9999906,noesiss.mv@outlook.com
Guest House,Bliss Dhigurah,Alifu Dhaalu,Dhigurah,"7970123
7201234",info@bliss.mv
Guest House,Boutique Beach Guest House,Alifu Dhaalu,Dhigurah,9739663,bookings@boutiquebeach.club
Guest House,Dhigurah Beach Inn,Alifu Dhaalu,Dhigurah,7606933,dhigurahbeachinn@gmail.com
Guest House,Dhigurah Cottage ZamaaneeUfa,Alifu Dhaalu,Dhigurah,9398801,dhigurahcottage@gmail.com
Guest House,Dhigurah Dhonveli Boutique,Alifu Dhaalu,Dhigurah,7800644,dhigurahdhonveli@gmail.com
Guest House,Dhiguveli,Alifu Dhaalu,Dhigurah,7406000 / 7653732,welcome@dhiguveli.com
Guest House,Dhiguveli Breeze,Alifu Dhaalu,Dhigurah,7994346,info@macrosix.com
Guest House,Dhonfalhu Dhigurah,Alifu Dhaalu,Dhigurah,9400062,dhonfalhudhigurah@gmail.com
Guest House,Finolhu Dhigurah,Alifu Dhaalu,Dhigurah,9867636,Finolhudhigurah@gmail.com
Guest House,Haven Dhigurah,Alifu Dhaalu,Dhigurah,7988694,info@empress.mv
Guest House,Horizon Dhigurah,Alifu Dhaalu,Dhigurah,9443233,ahupalhey@gmail.com
Guest House,Infinity Beach Dhigurah,Alifu Dhaalu,Dhigurah,9885528,infinitydhigurah@gmail.com
Guest House,Ithaa Dhigurah,Alifu Dhaalu,Dhigurah,9498880,ithaadhigurah@gmail.com
Guest House,Loft Maldives,Alifu Dhaalu,Dhigurah,9826222,maldivesloft@gmail.com
Guest House,Lofts by Bliss,Alifu Dhaalu,Dhigurah,7201234,info@bliss.mv
Guest House,Lonuhiri,Alifu Dhaalu,Dhigurah,7992701,info@lonuhiri.com
Guest House,Muraka Dhigurah,Alifu Dhaalu,Dhigurah,7884410,stay@murakadhigurah.com
Guest House,Naares Inn Dhigurah,Alifu Dhaalu,Dhigurah,9123320,admin@naaresinn.com
Guest House,Nikabliss,Alifu Dhaalu,Dhigurah,9103200,info@nika-bliss.com
Guest House,Oasis Dhigurah,Alifu Dhaalu,Dhigurah,9980155,oasisdhigurah@gmail.com
Guest House,Pearl Dhigurah,Alifu Dhaalu,Dhigurah,"9799866 
9867158",pearldhigurah@gmail.com
Guest House,Raakani Dhigurah,Alifu Dhaalu,Dhigurah,7477222,raakanidhigurah@gmail.com
Guest House,Ranveli Dhigurah,Alifu Dhaalu,Dhigurah,9881707,usamathgasim@gmail.com
Guest House,Sands Grand,Alifu Dhaalu,Dhigurah,7772159,yazeed@maldives-inc.com
Guest House,Seascape Retreats Dhigurah,Alifu Dhaalu,Dhigurah,9662023,hello@seascapedhigurah.com
Guest House,Seaside Dhigurah,Alifu Dhaalu,Dhigurah,7824741,stay@seasidedhigurah.com
Guest House,Serene Dhigurah,Alifu Dhaalu,Dhigurah,9490215,serenedhigurah@gmail.com
Guest House,Sun Beach Dhigurah,Alifu Dhaalu,Dhigurah,7745277,info@sunbeachdhigurah.com
Guest House,Sunny Stay Dhigurah,Alifu Dhaalu,Dhigurah,9702783,hudhaa003@gmail.com
Guest House,Sunrise by White Sand Dhigurah,Alifu Dhaalu,Dhigurah,7931474,reehan@whitesanddhigurah.com
Guest House,Sunwave Dhigurah,Alifu Dhaalu,Dhigurah,9192916,sunwavedhigurah@gmail.com
Guest House,The Wave Dhigurah,Alifu Dhaalu,Dhigurah,7443777,mohamednashidhassan@gmail.com
Guest House,Tides Dhigurah,Alifu Dhaalu,Dhigurah,7745277,siyam031405@gmail.com
Guest House,TME Retreats Dhigurah,Alifu Dhaalu,Dhigurah,7949169,reservations@tme.mv
Guest House,"TME Retreats Dhigurah, Noovilu",Alifu Dhaalu,Dhigurah,6680890,reservation@tme.mv
Guest House,Unwind Dhigurah,Alifu Dhaalu,Dhigurah,7988694,unwind.dhigurah@gmail.com
Guest House,Whale Shark Beach,Alifu Dhaalu,Dhigurah,7909994,shaheed@pneumatic.mv
Guest House,White Sand Dhigurah Guesthouse,Alifu Dhaalu,Dhigurah,7931474,stay@whitesanddhigurah.com
Home Stay,Boli Dhigurah,Alifu Dhaalu,Dhigurah,7945848,bolidhigurah@gmail.com
Home Stay,Lagoon Dhigurah,Alifu Dhaalu,Dhigurah,7993153,lagoondhigurah@gmail.com
Home Stay,TME Retreats Dhigurah Beach House,Alifu Dhaalu,Dhigurah,6680890,fayaz@tme.mv
Guest House,Fushi Beach,Alifu Dhaalu,Fenfushi,7722222,fushibeach@gmail.com
Guest House,Ocean Stay,Alifu Dhaalu,Fenfushi,9741444,coralpointmv@gmail.com
Guest House,Whale Shark Boutique,Alifu Dhaalu,Fenfushi,7905165,hatthu@gmail.com
Guest House,Whale Shark Villa,Alifu Dhaalu,Fenfushi,7905165,hatthu@gmail.com
Guest House,White Tern Maldives,Alifu Dhaalu,Fenfushi,9498300,reservations@whiteternmaldives.com
Guest House,Ari Paradise,Alifu Dhaalu,Hangnaameedhoo,"9553929
7973929",iqbal9553929@gmail.com
Guest House,Asia Inn,Alifu Dhaalu,Hangnaameedhoo,"7415310
9996632",info@asiainn.com
Guest House,Beach Star Maldives,Alifu Dhaalu,Hangnaameedhoo,7638936,beachstarmaldives@gmail.com
Guest House,Beach Vita Maldives,Alifu Dhaalu,Hangnaameedhoo,7638936,beachvitamaldives@gmail.com
Guest House,By The Shade,Alifu Dhaalu,Hangnaameedhoo,7454443,bytheshademv@gmail.com
Guest House,Detour Beach View,Alifu Dhaalu,Hangnaameedhoo,9993530,info@detourmaldives.com
Guest House,Island Grand Maldives,Alifu Dhaalu,Hangnaameedhoo,9728781,islandgrandmaldives@gmail.com
Guest House,Island Pavilion Adh. Hangnaameedhoo,Alifu Dhaalu,Hangnaameedhoo,7788041,info@island-pavilion.com
Guest House,Local Travel Beach Maldives,Alifu Dhaalu,Hangnaameedhoo,9571801,info.localtravel@gmail.com
Guest House,Ocean Beach Inn - Maldives,Alifu Dhaalu,Hangnaameedhoo,9710193,book@oceanbeachmv.com
Guest House,Ocean Lilly Inn,Alifu Dhaalu,Hangnaameedhoo,7914643,oceanlillyinn@gmail.com
Guest House,Solo Beach,Alifu Dhaalu,Hangnaameedhoo,7998695,solobeach2024@gmail.com
Guest House,Sunset View Inn,Alifu Dhaalu,Hangnaameedhoo,9158572,sunsetviewinn2021@gmail.com
Guest House,Tropical Escape Inn,Alifu Dhaalu,Hangnaameedhoo,9994319,tropicalescapeinn@gmail.com
Guest House,VIVA Beach and Spa Maldives,Alifu Dhaalu,Hangnaameedhoo,7796938,vivabeachmaldives@gmail.com
Home Stay,Hikifas Beach Maldives,Alifu Dhaalu,Hangnaameedhoo,9932981,m.aslam81@hotmail.com
Guest House,Suvaasa Inn,Alifu Dhaalu,Kunburudhoo,7884333,suvaasainn@gmail.com
Guest House,Ari Residence,Alifu Dhaalu,Maamigili,3333300 / 3344777,info@villa.com.mv
Guest House,Hiyalee Inn,Alifu Dhaalu,Maamigili,7759680,hiyaleeinn@gmail.com
Guest House,Maaniya Palace,Alifu Dhaalu,Maamigili,3333300 / 3344777,info@villa.com.mv
Guest House,Oren,Alifu Dhaalu,Maamigili,7952234,oren.maldives@gmail.com
Guest House,Ranfaru Inn,Alifu Dhaalu,Maamigili,7771060,hirigazahir@gmail.com
Guest House,Shamar Guest House,Alifu Dhaalu,Maamigili,7933404,shamar.dive@gmail.com
Guest House,Tranquil by La Cabana Mamigili,Alifu Dhaalu,Maamigili,9720115,mohamed11322@gmail.com
Guest House,Vilu Residence @ Maamigili,Alifu Dhaalu,Maamigili,7770974,viluresidence@gmail.com
Guest House,White Sand Inn,Alifu Dhaalu,Maamigili,7908821,umarzahir1779@gmail.com
Guest House,Wish Maamigili,Alifu Dhaalu,Maamigili,9777234,"info@wishmaamigili.com
wishmaamigili@gmail.com"
Guest House,Dhamana Beach,Alifu Dhaalu,Mahibadhoo,7329228,dhamanabeach@gmail.com
